Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude
97,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473481800,,,,,,,246.1,,,,0.3,,8,,,,,,,,,,,,6.2,,,40.43743056,-79.86357222
98,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473485400,,,,,,,183.3,,,,0.6,,11,,,,,,,,,,,,7.4,,,40.43743056,-79.86357222
99,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473489000,,,,,,,,,,,0.2,,6,,,,,,,,,,,,5.5,,,40.43743056,-79.86357222
100,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473492600,,,,,,,147.1,,,,,,12,,,,,,,,,,,,,,,40.43743056,-79.86357222
101,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473496200,,,,,,,375.6,,,,,,11,,,,,,,,,,,,,,,40.43743056,-79.86357222
102,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473499800,,,,,,,215.1,,,,0.2,,17,,,,,,,,,,,,8,,,40.43743056,-79.86357222
103,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473503400,,,,,,,412.7,,,,0.7,,14,,,,,,,,,,,,9.5,,,40.43743056,-79.86357222
104,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473507000,,,,,,,365.2,,,,1,,11,,,,,,,,,,,,7.3,,,40.43743056,-79.86357222
105,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473510600,,,,,,,577.6,,,,2.1,,15,,,,,,,,,,,,6.8,,,40.43743056,-79.86357222
106,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473514200,,,,,,,455.5,,,,2.8,,12,,,,,,,,,,,,7.6,,,40.43743056,-79.86357222
107,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473517800,,,,,,,190.5,,,,0.8,,7,,,,,,,,,,,,3.9,,,40.43743056,-79.86357222
108,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473521400,,,,,,,227.1,,,,0.6,,12,,,,,,,,,,,,3.5,,,40.43743056,-79.86357222
109,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473525000,,,,,,,243.9,,,,0.8,,11,,,,,,,,,,,,3.2,,,40.43743056,-79.86357222
110,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473528600,,,,,,,243.7,,,,0.6,,7,,,,,,,,,,,,3.3,,,40.43743056,-79.86357222
111,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473532200,,,,,,,204.1,,,,0.4,,12,,,,,,,,,,,,3,,,40.43743056,-79.86357222
112,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473535800,,,,,,,236.5,,,,0.5,,11,,,,,,,,,,,,3.1,,,40.43743056,-79.86357222
113,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473539400,,,,,,,174.6,,,,0.2,,10,,,,,,,,,,,,2.2,,,40.43743056,-79.86357222
114,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473543000,,,,,,,157.5,,,,0.2,,9,,,,,,,,,,,,2.5,,,40.43743056,-79.86357222
115,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473546600,,,,,,,164.1,,,,0.1,,11,,,,,,,,,,,,2.9,,,40.43743056,-79.86357222
116,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473550200,,,,,,,168.6,,,,0,,17,,,,,,,,,,,,3.7,,,40.43743056,-79.86357222
117,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473553800,,,,,,,179.1,,,,0,,16,,,,,,,,,,,,3.2,,,40.43743056,-79.86357222
118,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473557400,,,,,,,265.7,,,,1.4,,11,,,,,,,,,,,,3.1,,,40.43743056,-79.86357222
119,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473561000,,,,,,,390.5,,,,2.9,,2,,,,,,,,,,,,5.3,,,40.43743056,-79.86357222
120,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473564600,,,,,,,405.8,,,,3.4,,0,,,,,,,,,,,,5.5,,,40.43743056,-79.86357222
121,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473568200,,,,,,,278,,,,1.4,,4,,,,,,,,,,,,3.9,,,40.43743056,-79.86357222
122,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473571800,,,,,,,148.5,,,,0.8,,3,,,,,,,,,,,,2.6,,,40.43743056,-79.86357222
123,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473575400,,,,,,,,,,,0.8,,1,,,,,,,,,,,,2.7,,,40.43743056,-79.86357222
124,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473579000,,,,,,,183.1,,,,,,4,,,,,,,,,,,,,,,40.43743056,-79.86357222
125,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473582600,,,,,,,143.3,,,,,,3,,,,,,,,,,,,,,,40.43743056,-79.86357222
126,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473586200,,,,,,,181.6,,,,0.8,,5,,,,,,,,,,,,2.5,,,40.43743056,-79.86357222
